service_name,address,latitude,longitude,service_types,service_description,last_updated_at_UTC
Cleanaway Bathurst,"22 Upfold Street, Bathurst, NSW, 2795",-33.4263230,149.5892950,Miscellaneous,"The team at Cleanaway provides exceptional professionalism and safety with our liquids and industrial services. Throughout Bathurst we offer businesses of every size with the service they can rely on, whatever their needs. Located at 22 Upfold Street, we cover all of Bathurst and the surrounding area.",11-Dec-2021 15:37:57
Cleanaway Bathurst Solid Waste Services,"22 Upfold Street, Bathurst, NSW, 2795",-33.425832,149.589472,"Solid waste services, Office","Cleanaway Bathurst offers both solid and liquid waste services to commercial and industrial customers in Lithgow, Bathurst, Orange, and Cowra. Our facility bales paper and cardboard for recycling and accepts onsite drop offs. We provide front lift, hook lift and rear lift skip bin rentals.",11-Dec-2021 15:37:58
Cleanaway Erskine Park Landfill,"85-87 Quarry Road, Erskine Park NSW 2759",-33.8183208,150.7815256,Solid waste services,The Cleanaway Erskine Park landfill provides the highest standard of solid waste management. This landfill accepts general waste and low level contaminated soils from local construction businesses in Sydney and western suburbs.,11-Dec-2021 15:38:06
Cleanaway Geraldton Solid Waste Services,"11 Connolly Street, Geraldton, WA, 6530",-28.748144,114.6284684,Solid waste services,Cleanaway Webberton offers a complete range of waste management services in the Midwest region including kerbside collection to local councils and landfill site and transfer station management.,11-Dec-2021 15:38:07
Cleanaway East Bundaberg Solid Waste Services,"Shed 7 - No. 9 Steptoe Street, East Bundaberg, QLD, 4670",-24.864409,152.375015,Solid waste services,"Cleanaway East Bundaberg offers solid waste services for residents, municipal councils, schools, hospitals and the commercial and industrial sectors in all Bundaberg and North Burnett regions.",11-Dec-2021 15:38:06
Cleanaway Emerald Liquid Waste Services,"23 Cotton View Rd, Emerald, QLD, 4720",-23.504176,148.149582,Liquid waste services,"Cleanaway Emerald offers liquid waste management services including grease trap, wash water, coolant, and septic, all directly disposed at a local composting facility.",11-Dec-2021 15:38:06
Cleanaway East Bendigo Solid Waste Services,"63-69 Beischer Street, East Bendigo, VIC, 3551",-36.752299,144.308994,"Solid waste services, Office","We’re located at the corner of Beischer street and Roanoak court, just off McIvor highway. We offer solid waste management collection and disposal services for communities and businesses. Ask us about our front lift and rear lift skip bin rentals.",11-Dec-2021 15:38:06
Cleanaway Beresfield – Newcastle Solid Waste Services,"16 Canavan Drive, Beresfield, NSW, 2320",-32.799710,151.631332,Solid waste services,"Cleanaway Beresfield Newcastle offers a complete range of solid waste services to residents, local councils and the commercial and industrial sectors in Newcastle, Hunter Valley, Lake Macquarie and Port Stephens. Our services include general waste removal, cardboard and paper recycling, construction and demolition waste, municipal waste collection, liquid and grease traps, and medical waste services.",11-Dec-2021 15:38:05
Cleanaway Dundowran CDS Depot,"9 Industrial Ave. Dundowran, Hervey Bay, QLD, 4655",-25.295951,152.791216,Solid waste services,Cleanaway Hervey Bay is a collection and exchange point for the Container Refund Scheme. We specialise in container bag drops and processing involving containers from other Container Refund Points in the Maryborough and Fraser Coast regions.,11-Dec-2021 15:38:06
Cleanaway Eastern Creek Solids Waste Services,"1A Raffles Glade, Eastern Creek, NSW, 2766",-33.799732,150.834955,Solid waste services,"Cleanaway’s Eastern Creek facility is custom built to process high quality recyclables from New South Wales’ container deposit scheme, Return and Earn. The scheme is the largest litter reduction scheme introduced in NSW, working towards reducing the volume of drink container litter in the state by 40% by 2020. Return and Earn has the potential to aid local councils by reducing costs associated with litter clean-up. For many communities, local organisations, charities and groups the scheme also represents an extra source of funding.",11-Dec-2021 15:38:06
Cleanaway Erskine Park Solid Waste Services,"48 Quarry Road, Erskine Park, NSW, 2759",-33.8185187,150.7824974,Solid waste services,"Cleanaway Erskine offers solid waste services and collections for businesses and industries within the Sydney Metropolitan area. We are a self-contained operation, with an onsite workshop, fuel bowser and storage facilities. Although we have fixed opening hours, our operations run 24 hours a day, seven days a week to service all our clients.",11-Dec-2021 15:38:06
Cleanaway Erskine Park Transfer Station,"85-87 Quarry Road, Erskine Park, NSW, 2759",-33.8183208,150.7837140,"Transfer Station, Office",The Erskine Park Transfer Station separates recyclable materials from the waste streams to be managed as a commodity. The facility serves the Sydney Metropolitan area and is expected to divert up to 40% of the waste streams from landfill and into a recycling facility.,11-Dec-2021 15:38:06
Cleanaway Dubbo Solid Waste Services,"2 Jannali Road, West Dubbo, NSW, 2830",-32.241545,148.584079,"Solid waste services, Office","Cleanaway Dubbo offers both solid and liquid waste services to businesses in Wellington, Dubbo, Gilgandra and Narromine. We also provide front lift, hook lift, and rear lift rentals.",11-Dec-2021 15:38:06
Cleanaway Beresfield CDS Depot,"2 Balbu Close, Beresfield, NSW, 2322",-32.8088543,151.6292457,Miscellaneous,Cleanaway Beresfield is a container deposit scheme (CDS) depot for the Newcastle and Hunter regions. We sort and bale containers received from reverse vending machines (RVM) and over the counter deposits.,11-Dec-2021 15:38:06
Cleanaway Bentley Liquid Waste Depot,"32 Ewing Street, Bentley (Welshpool), WA, 6102",-32.000975,115.923947,Liquid waste services,"Cleanaway Bentley offers total liquid waste management solutions. We collect and process hazardous and non-hazardous liquids, waste oil and hydrocarbons.",11-Dec-2021 15:38:05
Cleanaway Mandurah Solid Waste Services,"101 Park Road, Mandurah, WA, 6210",-32.5163690,115.7449400,Solid waste services,"Cleanaway Mandurah offers solid waste services to municipal councils, businesses, and the local naval base, in the Kwinana, Rockingham, and Peel regions. We collect and recycle general waste, commingled waste, organic waste, and paper and cardboard. We also provide industrial services, liquid and hazardous waste management, and rentals for variety of bin sizes – from a small 240lt up to our large 30m³.",11-Dec-2021 15:38:15
Cleanaway Manjimup Solid Waste Depot,"9 Gandy Street, Manjimup, WA, 6258",-34.255197,116.1473282,Solid waste services,"Cleanaway Manjimup Solid Waste Depot offers total waste management services for small businesses, commercial and industrial operations, as well as large scale mining. Our facility services the regions of Manjimup, Bridgetown, Greenbushes, Nannup, Walpole, Pemberton and Northcliffe.",11-Dec-2021 15:38:15
Cleanaway Margaret River Solid Waste Services,"17 Auger Way, Margaret River, WA, 6285",-33.9667359,115.0699181,"Solid waste services, Office","Cleanaway Margaret River services South West WA’s municipal councils, businesses, mining and industrial sectors.",11-Dec-2021 15:38:16
Cleanaway Mansfield,"C/- Trans Ag. Withers Lane, Mansfield, VIC, 3722",-37.0521693,146.0881238,Office,,11-Dec-2021 15:38:16
Cleanaway Glenorchy Solid Waste Services,1 Mckay Avenue Glenorchy TAS 7010,-42.8282067,147.2745492,Solid waste services,"Cleanaway Glenorchy Solid Waste Services offers complete solid waste services in Southern Tasmania, backed by staff with long experience in the waste industry and a new fleet. Our solutions include:",11-Dec-2021 15:38:15
Cleanaway Melbourne Head Office,"Level 4, 441 St Kilda Road, Melbourne, VIC, 3004",-37.8395758,144.9769972,Office,"We are Australia’s largest waste, recycling, industrial and liquids service provider with a substantial network of state-of-the-art facilities, transfer stations, engineered landfills, liquid treatment plants and refineries.",11-Dec-2021 15:38:16
Cleanaway Mildura Ontario Ave,"Ontario Avenue, Mildura, VIC, 3500",-34.2000074,142.1246482,Transfer Station,,11-Dec-2021 15:38:16
Cleanaway Glendenning ERS Liquid Waste Depot,"8 Rayben Street, Glendenning, NSW, 2761",-33.750567,150.856326,Liquid waste services,Cleanaway Glendenning offers liquid waste solutions for businesses and industries in the great Sydney metropolitan area and southern NSW.,11-Dec-2021 15:38:14
Cleanaway Hallam Resource Recovery Transfer Station,"39 Wedgewood Drive, Hallam, Vic, 3803",-38.0086503,145.2552614,Transfer Station,Cleanaway Hallam Transfer Station is part of the Victoria Commingled Resource Recovery (VCRR) network of assets acquired from SKM Recycling in October 2019. The facility is a drop off and disposal site where commercial and municipal recycling is collected for further processing. The site has been upgraded for the safety and protection of our teams and visitors including civil works to ensure regulatory compliance.,11-Dec-2021 15:38:15
Cleanaway Milton,"Level 7, 135 Coronation Drive, Milton, QLD, 4064",-27.468376073034428,153.01028136397744,Office,,11-Dec-2021 15:38:16
Cleanaway Greenacre Solid Waste Services,"44 Claremont Avenue, Greenacre, NSW, 2190",-33.901677,151.037635,Solid waste services,"Cleanaway Greenacre is solid waste services facility, offering paper, cardboard and plastic recycling and baling. We offer a tailored service to clients around the Sydney metropolitan and can quote on specialised products, such as redundant point of sale materials and retail stock. Regional customers all over NSW are welcome to deliver materials to our facility.",11-Dec-2021 15:38:15
Cleanaway Grafton Health Waste Services,"Shed 35, 160-170 North Street, Grafton, NSW, 2460",-29.670861,152.939690,Miscellaneous,"Cleanaway Grafton offers health waste services including sharps management, sanitary services, clinical waste, and cytotoxic, anatomical and pharmaceutical waste.",11-Dec-2021 15:38:15
Cleanaway Mildura Solid Waste Depot,"359 Benetook Avenue, Mildura, VIC, 3500",-34.199745,142.1720722,Solid waste services,"Cleanaway Mildura has been providing solid waste services, including front lift and skip bin hires to the greater Innisfail region for over 15 years. We also provide general waste management solutions for Mildura, Wentworth, Swan Hill, Broken Hill, and municipal collection services to the Cassowary Coast Regional Council.",11-Dec-2021 15:38:16
Cleanaway Gympie Solid Waste Services,"19 Dennis Little Drive, Gympie, QLD, 4570",-26.223868,152.698278,Solid waste services,"Cleanaway Gympie offers general and commingled waste collection services for the Gympie municipal council in Gympie, Goomeri, Gunalda and Rainbow Beach regions. We also offer cardboard and paper recycling as well as industrial front lift skip bins and RORO rental services.",11-Dec-2021 15:38:15
Cleanaway Griffith Solid Waste Services,"88 Wakaden Street, Griffith, NSW, 2680",-34.288498,146.067276,Solid waste services,"Cleanaway Griffith offers solid waste services, including municipal waste collection, solid waste recycling, and cardboard recycling to the commercial and industrial sectors in Griffith, Leeton, Hay, Coleambally, Darlington Point and all the farms and smaller villages in between.",11-Dec-2021 15:38:15
Cleanaway Gladstone Industrial Waste Services,"41 Guerassimoff Road, Gladstone, QLD, 4680",-23.8098275,151.146048,Industrial waste services,"Cleanaway Yarwun offer industrial services and waste management solutions to councils as well as mining, aluminium, cement and heavy industrial customers within Central Qld areas like Gladstone, Rockhampton, Biloela, Blackwater, Mackay and Bowen Basin. Some of our major clients include Cement Australia, Boyne Smelter, Gladstone Ports Corp, NRG – Gladstone Power Station, Orica, Stanwell and Callide Power Stations as well as the Gladstone Regional Council.",11-Dec-2021 15:38:14
Cleanaway Malaga Solid Waste Services,"171 Camboon Road, Malaga, WA, 6530",-30.5139280,151.6422790,Solid waste services,"Cleanaway Malaga is the headquarters for Cleanaway Western Australia, located right at the end of Camboon road. We have a fleet of over 100 vehicles servicing Perth Metro daily, ready to respond to emergency call outs around the clock.",11-Dec-2021 15:38:21
Cleanaway Maddington Jade Street,"22-24 Jade Street, Maddington, WA, 6109",-32.0395264,115.9992071,Miscellaneous,,11-Dec-2021 15:38:21
Cleanaway Lismore Solid Waste Services,"17 Habib Drive, Lismore, NSW, 2480",-28.8229206,153.2596957,Solid waste services,Cleanaway Lismore has expanded its services in Lismore and the Northern New South Wales region. Our service areas now include commercial and industrial customers in:,11-Dec-2021 15:38:21
Cleanaway Maddington Lot 579 Valencia Way,"Lot 579 Valencia Way, Maddington, WA, 6109",-32.0357080,115.9960870,Miscellaneous,,11-Dec-2021 15:38:21
Cleanaway Leongatha Solid Waste Services,"1 Cusack Rd, Leongatha, VIC, 3953",-38.4666332,145.9571674,"Solid waste services, Office","At Cleanaway Leongatha, we deliver environmentally sustainable services including resource recovery, recycling, and waste management to businesses and communities. This includes municipal collections for the South Gippsland Shire, bulk waste management and recycling services for large to small business including residential customers.",11-Dec-2021 15:38:21
Cleanaway Laverton Technical Waste Services,"83 Dohertys Road, Laverton North, VIC, 3026",-37.8288342,144.7944222,Liquid waste services,"Cleanaway Laverton North is an EPA Victoria licensed facility specialising in the collection and treatment of prescribed packaged chemical wastes. We are licensed by EPA Victoria to offer waste disposal solutions for all types of industry including oil and gas, mining, manufacturing, primary producers, government, education, utilities and facilities management.",11-Dec-2021 15:38:21
Cleanaway Lonsdale – Solid Waste Services,"Lot 79 Liston Road, Lonsdale, SA, 5160",-33.8185187,138.5012845,Solid waste services,"Cleanaway Lonsdale, through our subsidiary Adelaide Organic Recyclers (AOR), conducts controlled composting operations in a licensed facility at Liston Road, Lonsdale, and have successfully delivered high grade mulches and composted organic soils to the marketplace for 20 years.",11-Dec-2021 15:38:21
Cleanaway South Windsor Liquid Waste Services,"Corner of Blackman Crescent and Fairey road, South Windsor, NSW, 2756",-33.6248966,150.8147728,Liquid waste services,"Cleanaway South Windsor is a liquid waste treatment plant for commercial and industrial customers in the Greater Sydney area. Our services include mud drills, oily water, used oil, sludge, and waste water processing. We provide bilge waste and bunker oil sludge removal and disposal services to ships, boats, and manufacturing customers.",11-Dec-2021 15:38:21
Cleanaway St Marys Industrial Service and Technical Services,"42-46 Charles Street, St Marys, NSW, 2760",-33.7440475,150.7687926,"Liquid waste services, Industrial waste services","Cleanaway St Marys, a community recycling centre in Penrith, processes contaminated and hazardous soils for our customers which include infrastructure businesses, waste companies and developers in New South Wales.",11-Dec-2021 15:38:21
Cleanaway Monash Solid Waste Services,"92 Hoskin Road, Monash, SA, 5342",-34.256859,140.6029011,Solid waste services,"Cleanaway Monash is a transfer station servicing the entire Riverland region, Berri Barmera, Loxton, Waikerie, Renmark, and Paringa. We take in municipal waste, business waste and bulk disposal of solid non-hazardous waste. We also accept commercial and domestic quantities of non-friable asbestos.",11-Dec-2021 15:38:20
Cleanaway Lysterfield Resource Recovery Centre,"840 Wellington Road, Lysterfield, VIC, 3156",-37.9452560,145.3217980,Solid waste services,UPDATE: Now open to the public. Opening times are subject to change in line with COVID restrictions.,11-Dec-2021 15:38:21
Cleanaway Lonsdale Waste and Recycling Depot,"10 Donegal Road , Lonsdale, SA, 5160",-35.1190214,138.4932197,Miscellaneous,"Cleanaway Lonsdale Waste and Recycling Depot (formerly SA Waste) offers complete resource recovery, recycling, and waste management services to residents, industry and councils. Services include general waste collection, builder’s demolition waste, recycling and disposal.",11-Dec-2021 15:38:21
Cleanaway St Marys Liquid Waste Services,"40 Christie Street, 40 Christie Street, NSW, 2760",-33.7472533,150.7709146,Liquid waste services,"Liquids and hazardous waste
Our EPA licensed facility is fully equipped to collect and process hazardous liquid waste from households and businesses.",11-Dec-2021 15:38:22
Cleanaway Sunshine West Industrial Waste Services,"16 Industrial Drive, Sunshine West, VIC, 3013",-37.8103274,144.8131073,Industrial waste services,"Cleanaway Sunshine West services a wide range of industries and customers including oil and gas, petrochemicals, infrastructure and national broadband network (NBN) providers across Victoria. We are fully equipped and strategically located to manage a broad range of industrial, commercial, construction and hazardous waste, as well as specialised industrial cleaning and maintenance solutions.",11-Dec-2021 15:38:29
Cleanaway Stratford Liquid Waste Services,"63 Greenbank Rd, Stratford, QLD, 4870",-16.8696052,145.7382642,Liquid waste services,"Cleanaway Stratford offers liquid and hazardous waste collection services for councils, businesses and industries in the Far North Queensland region. We are licensed to only collect and store waste. No public delivery available.",11-Dec-2021 15:38:28
Cleanaway Portland Industrial Waste Services,"20 Schultz Ave, Portland, VIC, 3305",-38.3845252,141.5916986,Industrial waste services,Cleanaway Portland offers industrial services to residents and commercial businesses in the Portland region. Our services include:,11-Dec-2021 15:38:29
Cleanaway Taminda / Tamworth,"31 Gunnedah Rd, Taminda, NSW, 2340",-31.0968220,150.9053960,Miscellaneous,,11-Dec-2021 15:38:29
Cleanaway Tamworth Solid Waste Services,"13 Anson Street, Taminda, NSW, 2340",-31.0899124,150.9083517,Solid waste services,"Cleanaway Tamworth recycling centre is the regional council’s preferred contractor, providing waste management solutions for all residential, commercial and industrial sectors in Tamworth and the surrounding regions. We are an active member of the community, proudly employing locals and supporting local business through our operations.",11-Dec-2021 15:38:29
Cleanaway Port Kembla Liquid Waste Services,"Recycling Area 21, Bluescope Steel, Springhill Road, Port Kembla, NSW, 2505",-34.442884,150.884228,Liquid waste services,"Cleanaway Port Kembla is an EPA licensed facility that collects and disposes a range of liquid waste within the Illawarra region. We offer collection and disposal solutions for different industries including automotive, commercial, construction, education, gas, government, manufacturing, marine, mining, utilities and facilities management.",11-Dec-2021 15:38:29
Cleanaway Thurla,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.3386471,142.0975984,Office,,11-Dec-2021 15:38:29
Cleanaway Rockhampton – Liquid Waste Services,"Dooley St & Robinson St, Rockhampton City, QLD, 4700",-23.3633983,150.5076474,Liquid waste services,"Cleanaway Rockhampton provides liquid waste services to Rockhampton, Yeppoon, Gracemere, Gladstone, Emerald, Blackwater, and Longreach. Our services include parts washers, grease traps, chemical collections, oily water and waste oil collections. We accept waste on site from the general public.",11-Dec-2021 15:38:30
Cleanaway Ramsay SA,"Section 100 Dump Road, Ramsay, SA, 5575",-34.805467,137.7426004,Miscellaneous,,11-Dec-2021 15:38:30
Cleanaway Thomastown Grease Trap Services,"11 Chaffey Street, Thomastown, VIC, 3074",-37.6899184,145.0053281,Liquid waste services,"Cleanaway Thomastown specialises in the collection of hazardous and non hazardous liquids, hydrocarbons and oil from local businesses in the Metropolitan Melbourne, Geelong and Mornington Peninsula areas. Services provided include:",11-Dec-2021 15:38:29
Cleanaway Queanbeyan Liquid Waste Services,"42B Aurora Ave, Queanbeyan, NSW, 2620",-35.3384160,149.2480230,Liquid waste services,"Cleanaway Queanbeyan delivers liquid and industrial waste services including packaged waste, parts washer, solvent sinks, spray gun cleaning, and spill kits. Our site is also a depot for waste oil collection. Our customers include the government, businesses, airlines, and mines.",11-Dec-2021 15:38:30
Cleanaway Ravenhall Melbourne Regional Landfill,"1100-1152 Christies Road, Ravenhall, 3023",-37.7915809,144.7302601,Miscellaneous,"Cleanaway Ravenhall is a landfill for residents and commercial customers from the broader Melbourne metro area. We accept general waste, inert waste, construction and demolition waste, quarantine waste, secure waste and deep burials.",11-Dec-2021 15:38:30
Cleanaway Portsmith Cairns Solid Waste Services,"66 Fearnley Street, Portsmith Cairns, QLD, 4870",-16.9354758,145.7711619,Solid waste services,"Cleanaway Portsmith Cairns offers solid waste services to commercial and industrial customers in the Greater Cairns Queensland area. We also provide front lift, hook lift, reloaded, side arm, skip and flat deck bins. Our modern fleet is operated by highly skilled employees trained in all aspects of waste collection, and operational hazard and safety.",11-Dec-2021 15:38:29
Cleanaway Oxley Solid Waste Services,"2145 Ipswich Road, Oxley, QLD, 4075",-27.5639539,152.982447,Solid waste services,"Cleanaway Oxley offers solid waste services to the commercial and industrial sectors across South East Queensland. We provide skip bin and hook bin rentals, portable toilets rentals, and temporary fencing services.",11-Dec-2021 15:38:37
Cleanaway Parkeston Liquid Waste Services,"Lot 33 Yarri Road, Parkeston, WA, 6434",-30.709541,121.5083828,"Liquid waste services, Office","Cleanaway Parkeston provides liquid waste disposal and recycling service for businesses of all sizes and types. We can manage all kinds of chemical and liquid hazardous waste, from sewerage to chemical waste disposal to e-waste, quarantine and medical waste.",11-Dec-2021 15:38:38
Cleanaway Orange Liquid Waste Services,"28 Leewood Drive, Orange, NSW, 2800",-33.3125892,149.1109729,Liquid waste services,"Cleanaway Orange depot offers workshop waste solutions to automotive, manufacturing and industrial businesses in the Orange region. Services we provide include:",11-Dec-2021 15:38:37
Cleanaway Northgate Solid Waste Services,"172 Crockford Street, Northgate, QLD, 4013",-27.3895047,153.0789993,Solid waste services,"Cleanaway Northgate provides solid waste services for all commercial and industrial sectors in the Northgate region. Call us to set an appointment, or to find out more about our products and services.",11-Dec-2021 15:38:37
Cleanaway Parkes NSW,"28 May Street, Parkes, NSW, 2600",-33.1426566,148.181035,Miscellaneous,,11-Dec-2021 15:38:38
Cleanaway Orange Depot for Health Services,"Unit 1, 191 Byng Street, Orange, NSW, 2800",-33.2825124,149.1070842,Miscellaneous,"Cleanaway Orange safely collects and disposes of cytotoxic waste, anatomical waste and pharmaceutical waste. We also provide sanitary and clinical services to the healthcare industry.",11-Dec-2021 15:38:37
Cleanaway Rokeby Technical and Environmental Services,"8/73 Droughty Point Road, Rokeby, TAS, 7018",-42.9065281,147.441767,Miscellaneous,Cleanaway Rokeby is located along Droughty Point road. We’re a transfer station that focuses on technical and environmental services for liquid waste. The types of liquid waste we collect include:,11-Dec-2021 15:38:37
Cleanaway Roma Industrial Waste Services,"27 - 31 Linton Street, Roma, QLD, 4455",-26.5830623,148.7775729,Industrial waste services,"Formerly Toxfree, Cleanaway Roma offers industrial waste services including high pressure water blasting, non destructive digging, drain cleaning, total waste management and 24-hour drill rig support. We also offer general waste management services. We have been operating in Roma now for 7 years and have the largest fleet of industrial services and waste management vehicles in the Surat Basin.",11-Dec-2021 15:38:37
Cleanaway North Geelong Solid Waste Services,"111-117 Mornington Street, North Geelong, VIC, 3215",-38.1129277,144.3483272,Solid waste services,"Cleanaway North Geelong provides general waste and recycling bins in sizes from 240lt carts through to 31m bins. We have rear lift, front lift and hook lift trucks available to deliver and empty as required.",11-Dec-2021 15:38:37
Cleanaway Paget Mackay Liquids Waste Services,"Lot 3 Crichtons Rd, Paget, QLD, 4740",-21.1935748,149.1635346,Liquid waste services,"Cleanaway Paget Mackay offers liquid and solid waste services, including general waste, cardboard recycling, high power jetting, Kingvac, and drain cleaning for commercial and industrial sectors. Our site services Mackay, Sarina, Whitsundays and Bowen Basin, including Nebo, Glenden, Coppabella, Moranbah, Dysart, and Middlemount.",11-Dec-2021 15:38:38
Cleanaway Padstow Liquid Waste Services,"12 Stuart Street, Padstow, NSW, 2211",-33.9445877,151.0354634,Liquid waste services,"Cleanaway Padstow provides grease trap servicing for commercial kitchens in the Sydney Metro area, and disposal of grease trap waste to Sydney Water certified grease trap waste transporters.",11-Dec-2021 15:38:38
Cleanaway Nowra Solid Waste Services,"7 Tom Thumb Avenue, Nowra, NSW, 2541",-34.9134259,150.5779818,"Solid waste services, Office",Cleanaway Nowra offers solid waste services to residents and businesses in Shoalhaven. We have a range of front lift and rear lift bins available.,11-Dec-2021 15:38:37
Cleanaway Port Adelaide Solid Waste Services,"35 Francis Street, Port Adelaide, SA, 5014",-34.8375831,138.5201208,Solid waste services,"The Port Adelaide Cleanaway office is located at the corner of Easter Parade and Francis street, under the Port River expressway bridge. We offer a full range of waste services for businesses of all sizes, government and local councils. Our site is also a depot that features full workshop facilities for our entire fleet. Our depot is serviced by a fleet of municipal trucks, front lifts, rear lift trucks, and hook lifts for all your needs.",11-Dec-2021 15:38:46
Cleanaway Tullamarine Solid Waste Depot,"206-300 Western Avenue, Tullamarine, VIC, 3043",-37.6751505,144.8594141,"Solid waste services, Office","The Tullamarine depot opened in 1978 as a prescribed landfill. It has since been closed to tipping, and is currently being rehabilitated. The Cleanaway office here runs the sales, administrative, and general operations.",11-Dec-2021 15:38:46
Cleanaway Port Hedland Liquid & Technical Services,"20 Schillaman Street, Wedgefield, WA, 6721",-20.3695302,118.5992692,Liquid waste services,"Cleanaway Port Hedland offers both solid and liquid waste services for residents, businesses, and municipal councils. Our site is a hazardous and non-hazardous disposal facility for paints, mixed chemicals, waste oil and commingled recycling from households.",11-Dec-2021 15:38:46
Cleanaway Parkhurst Solid Waste Services,"78 Waurn Street, Parkhurst, QLD, 4701",-23.3404989,150.5239256,Solid waste services,"Cleanaway Parkhurst offers solid waste services across Central Queensland for residents, businesses, building and construction companies and municipal councils. We provide general waste management, including commingled waste collections, cardboard recycling, secure document destruction, construction and demolition waste, and steel scraps.",11-Dec-2021 15:38:45
Cleanaway Port Hedland Solid Waste Services,"1 Peawah St, Wedgefield, WA, 6721",-20.372295,118.5904713,"Solid waste services, Office","Cleanaway Wedgefield offers general waste disposal, recycling and industrial services to residents, government, and the commercial and industrial sectors in Port Hedland, South Hedland and the surrounding mine sites. Our industrial services include septic waste disposal, waste oil collection, high pressure water blasting and vacuum truck work.",11-Dec-2021 15:38:46
Cleanaway Pinjarra,"Alocoa Access Road, South West Highway, Pinjarra, WA, 6208",-32.6599049,115.8285153,Office,,11-Dec-2021 15:38:45
Cleanaway Townsville NQRR,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.2540518,146.7130952,Miscellaneous,,11-Dec-2021 15:38:46
Cleanaway Perth MRF,"72 Hyne Road, South Guildford, WA, 6055",-31.9150861,115.9644323,Miscellaneous,The Cleanaway Perth Material Recovery Facility (MRF) has been reopened with the capacity to process over half of Western Australia’s commingled recycling. The $26 million facility has the capability to recover up to 90% of reusable product and deliver up to 99.5% purity across all fibre and plastic outputs.,11-Dec-2021 15:38:45
Cleanaway Thurla Solid Waste Services,"428 Magnum Avenue (Koorlong), Thurla, VIC, 3496",-34.321758,142.092255,"Transfer Station, Office, Public Waste Drop-off, Commercial Waste Drop-off",,11-Dec-2021 15:38:46
Cleanaway Toowoomba Liquid & Technical Waste Services,"27-35 Wilkinson St, Toowoomba, QLD, 4350",-27.5362944,151.947924,Liquid waste services,"Cleanaway Toowoomba offers liquid and industrial waste solutions to the commercial sector, households, and mining operations in Toowoomba and its surrounding regions, including Lockyer Valley, Southern Downs, Western Downs, Maranoa Regional, Goondiwindi and South Burnett.",11-Dec-2021 15:38:46
Cleanaway Peakhurst Solid Waste Services,"8-10 Depot Road, Peakhurst, NSW, 2210",-33.9677682,151.0606842,Solid waste services,"Cleanaway Peakhurst is a recycling centre for the Canterbury Bankstown council and the Inner West council. Our recycling services include general waste, organic waste and household waste.",11-Dec-2021 15:38:45
Cleanaway Port Augusta Solid Waste Services,"Lot 10 Footner Road, Port Augusta, SA, 5710",-32.5055723,137.8093745,Solid waste services,"Cleanaway Port Augusta is a waste transfer station for the general public and commercial customers from Port Augusta, Port Pire, and various contact points in between. Our site accepts non-friable asbestos, most non-hazardous solid waste types, and construction and demolition materials. We resell various crushed concrete sizes.",11-Dec-2021 15:38:46
Cleanaway Warooka SA,"Tuckokcowie Road, Warooka, SA, 5577",-35.0355466,137.4215252,Miscellaneous,,11-Dec-2021 15:38:56
Cleanaway Narangba Vacuum Truck Liquid Waste Services,"109 Potassium Street, Narangba, QLD, 4504",-27.1973006,152.9956915,Miscellaneous,"Cleanaway Narangba provides vacuum truck liquid waste services to customers in the Brisbane North to Gympie regions. We service all businesses that generate liquid waste. Our liquid waste collection and treatment services include grease traps, septic sewage, leachate, storm water, and oily water. Our site can treat septic and sullage received from third parties on site.",11-Dec-2021 15:38:56
Cleanaway Narangba Hazardous Liquid Waste Services,"8-12 Krypton Street, Narangba, QLD, 4504",-27.1990762,153.0029159,Liquid waste services,"Cleanaway Narangba is a hazardous waste treatment plant that offers hazardous liquid waste processing to waste companies, utilities, the defence sector, councils, EPA, the industrial sectors and universities in the regions of Brisbane and Queensland. We specialise in:",11-Dec-2021 15:38:56
Cleanaway Narangba Solid Waste Services,"56 - 60 Saltwater Circuit, Narangba, QLD, 4504",-27.2069902,152.9883437,Solid waste services,Cleanaway Narangba offers general and commingled waste collection and recycling services for the Moreton Bay regional council.,11-Dec-2021 15:38:56
Cleanaway Narangba Waste Transfer Station,"200 Potassium Street, Narangba, QLD, 4504",-27.1989517,152.9898973,Solid waste services,"Cleanaway Narangba is a transfer station for the commercial and industrial sectors in the Sunshine Coast, Moreton Bay and Brisbane regions. We also offer commercial, industrial and construction and demolition waste recycling services.",11-Dec-2021 15:38:56
Cleanaway Unanderra Medical Waste Services,"14 Industrial Road, Unanderra, NSW, 2526",-34.4641887,150.8561126,Miscellaneous,"Cleanaway offers clinical and related waste management services to healthcare professionals in the NSW region. Our services include the treatment of clinical waste, sharps, human tissue waste, laboratory waste, pharmaceutical waste, items contaminated with blood or body fluids, or any related waste that has the potential to cause sharps injury, infection or offence.",11-Dec-2021 15:38:55
Cleanaway Wagga Wagga Depot,"9 Schiller Street, Wagga Wagga NSW 2650 Australia",-35.1276518,147.4131505,Solid waste services,"Cleanaway Wagga Wagga Depot is a hub for the smaller branches located in Griffith and Young, serving five local councils and commercial and industrial customers. We provide solid waste services, including cardboard and commingled recycling. We also have liquid storage tanks on site to treat liquid waste such as grease traps, septic tanks and oily water.",11-Dec-2021 15:38:56
